"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"523","13862",37,62,2,9.9,361,0.9,0,233.3,12.2,"WGS84",43.68663,12.58635,"B52","8","U111","8","mineral","ITALY"
"524","13863",36,44,20,31.9,436,2.7,32.3,257.3,31.2,"WGS84",43.74608,12.36594,"B12","8","U111","8","mineral","ITALY"
"525","13864",34,61,5,15.2,271,1.3,25.1,272.1,19.8,"WGS84",43.79667,12.51682,"B12","8","U111","8","mineral","ITALY"
"526","13865",20,37,43,11.3,203,1,18.4,157.4,13.9,"WGS84",43.85257,12.44458,"D10","8","U112","U400","mineral","ITALY"
"527","13869",6,13,81,14.5,3,1,0,69.3,11.7,"WGS84",42.6294,11.17955,"C10","8","U120","8","mineral","ITALY"
"528","13874",57,41,2,10.2,276,1.2,0,378.7,25.5,"WGS84",43.53671,13.39488,"E20","8","U111","8","mineral","ITALY"
"529","13875",40,48,12,18.1,526,1.4,36.6,411.5,20.6,"WGS84",43.47948,12.8977,"B12","8","U111","8","mineral","ITALY"
"530","13878",39,58,3,10.6,528,1,12.2,163.9,23.9,"WGS84",43.5497,13.54394,"B12","8","U111","8","mineral","ITALY"
"531","13880",41,50,8,10.6,245,1.1,0,251.5,22.1,"WGS84",43.59636,13.22522,"B12","8","U111","8","mineral","ITALY"
"532","13881",40,51,9,9.3,258,1.2,0,254.8,26.1,"WGS84",43.64885,13.27766,"B13","8","U111","8","mineral","ITALY"
"533","13882",42,46,12,5.2,321,0.8,0,181.7,27.5,"WGS84",43.50282,13.31883,"B31","8","U111","8","mineral","ITALY"
"534","13883",41,40,19,13.8,415,1.4,11.8,234.7,23.8,"WGS84",43.67075,13.1551,"B12","8","U111","8","mineral","ITALY"
"535","13884",37,42,21,10.2,250,1,11.7,163,26.1,"WGS84",43.6557,13.05522,"B12","8","U111","8","mineral","ITALY"
"536","13885",37,46,17,11.8,286,1.3,23.5,404.2,22.5,"WGS84",43.61882,13.05338,"B31","8","U111","8","mineral","ITALY"
"537","13886",31,58,11,12.5,29,1.3,70.5,289.7,26.1,"WGS84",43.29218,13.67612,"B43","8","U111","8","mineral","ITALY"
"538","13887",39,55,5,8.8,9,1.3,43.9,183.3,33.1,"WGS84",43.37029,13.50844,"B16","8","U111","8","mineral","ITALY"
"539","13888",57,41,1,9.6,257,1.1,0,216.3,25.9,"WGS84",43.44655,13.38966,"B12","8","U111","8","mineral","ITALY"
"540","13889",30,40,30,7.8,325,1.1,10.2,125.3,22.1,"WGS84",43.22775,13.45076,"B12","8","U111","8","mineral","ITALY"
"541","13890",44,49,7,7.6,122,1.5,16.6,241.9,33.5,"WGS84",43.37606,13.33644,"B12","8","U111","8","mineral","ITALY"
"542","13891",38,43,18,14.6,22,1.7,31.5,242.4,33.2,"WGS84",43.16205,13.2505,"E10","8","U111","8","mineral","ITALY"
"543","13894",45,44,11,8.2,285,1,0,244.6,24.8,"WGS84",43.39721,13.23893,"B13","8","U111","8","mineral","ITALY"
"544","13895",26,52,22,13.4,225,1.2,14.3,153.3,17.1,"WGS84",43.23653,13.18083,"B81","E30","U111","8","mineral","ITALY"
"545","13896",49,49,3,10,311,1.3,0,280.2,24.9,"WGS84",43.74876,12.96098,"B12","8","U111","8","mineral","ITALY"
"546","13901",43,39,18,8.1,180,1.7,15.4,427.9,31.9,"WGS84",43.2417,13.00909,"B12","8","U111","8","mineral","ITALY"
"547","13902",26,39,35,15.2,92,1.3,0,117.2,21.3,"WGS84",43.31386,13.01276,"B12","8","U111","8","mineral","ITALY"
"548","13903",31,41,28,9.4,315,1.1,0,192.5,21.3,"WGS84",43.47312,13.11994,"B12","8","U111","8","mineral","ITALY"
"549","13904",28,39,33,12.1,24,1.5,28.8,173.1,24.9,"WGS84",43.5365,12.03644,"B13","8","U111","8","mineral","ITALY"
"550","13905",31,45,24,17.9,130,2,0,181.6,25.1,"WGS84",43.71537,12.117,"E20","8","U111","8","mineral","ITALY"
"551","13906",35,36,29,8.2,37,1.4,10.6,84.2,29.8,"WGS84",43.53963,11.81335,"B31","8","U111","8","mineral","ITALY"
"552","13907",38,37,25,11.5,1,1.5,13.9,125.1,20.5,"WGS84",42.62563,11.44614,"B55","8","U111","8","mineral","ITALY"
"553","13908",47,45,7,15.5,15,2,11.3,158.4,32,"WGS84",43.82062,11.17813,"B52","8","U111","U150","mineral","ITALY"
"554","13909",36,52,12,5.8,161,1.1,0,150.2,21.3,"WGS84",43.74904,11.12713,"B82","E10","U111","8","mineral","ITALY"
"555","13910",40,46,13,14.7,35,1.6,0,289.1,23.9,"WGS84",43.71156,11.25019,"B82","E10","U111","8","mineral","ITALY"
"556","13911",18,39,43,30.1,1,1.6,0,74.2,7.5,"WGS84",43.09736,11.28621,"C30","8","U120","8","mineral","ITALY"
"557","13912",17,28,55,10,48,1.2,0,66.3,13.1,"WGS84",43.09673,11.33512,"B52","8","U111","8","mineral","ITALY"
"558","13913",25,47,27,29.4,1,2,0,94.3,10.9,"WGS84",43.09934,11.11469,"C10","8","U120","8","mineral","ITALY"
"559","13916",46,50,4,12.3,231,1.5,24.4,278.7,17.9,"WGS84",43.46526,10.50514,"B12","8","U111","8","mineral","ITALY"
"560","13917",23,32,45,12,49,1.3,17.6,268.3,18.5,"WGS84",43.33836,10.60262,"E10","8","U111","8","mineral","ITALY"
"561","13921",27,52,21,7.7,93,1,0,139.2,19.2,"WGS84",43.59094,10.62998,"E20","8","U111","8","mineral","ITALY"
"562","13922",23,57,19,9.8,117,1.2,0,103.6,21,"WGS84",43.49418,13.58822,"B31","8","U111","8","mineral","ITALY"
"563","13923",15,38,47,32,34,2.6,54.5,226.3,21.3,"WGS84",43.75423,10.45832,"E20","8","U111","8","mineral","ITALY"
"564","13924",58,41,1,16.3,40,1.9,0,324.5,34.5,"WGS84",43.66428,10.38339,"B53","8","U111","8","mineral","ITALY"
"565","13926",8,23,69,9.7,1,1,20.8,50.2,7.1,"WGS84",43.86201,10.55851,"B55","8","U111","8","mineral","ITALY"
"566","13927",27,55,19,10.4,107,1.1,0,126.1,23.5,"WGS84",44.00016,11.25645,"E30","8","U112","8","mineral","ITALY"
"567","13928",24,57,18,32.2,23,3.4,24.3,198.7,26.6,"WGS84",44.03468,11.38171,"E20","8","U111","8","mineral","ITALY"
"568","13931",25,42,33,42,5,4.2,0,324.8,47.2,"WGS84",42.08892,12.87922,"E10","8","U120","8","mineral","ITALY"
"569","13932",25,36,39,10.3,9,1.3,18,415.9,26.4,"WGS84",41.97121,12.5624,"B13","8","U111","8","mineral","ITALY"
"570","13933",42,31,27,14.8,2,1.7,36.8,880.8,21.2,"WGS84",41.89233,12.79797,"B82","B81","U111","8","mineral","ITALY"
